epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,20176.7,0.69894,1.02658,1.18114,0.77362,0.68622,0.73571,0.60921,0.5937,0.65462,1.15767,0.007327,0.007327,0.007327
83,21151.7,0.69765,1.0263,1.17861,0.76455,0.69531,0.73632,0.61003,0.59352,0.6551,1.15745,0.007294,0.007294,0.007294
84,22137.2,0.70001,1.0235,1.18038,0.76075,0.69822,0.73737,0.61079,0.59333,0.65403,1.15727,0.007261,0.007261,0.007261
85,23112.1,0.69901,1.02463,1.18068,0.7551,0.70343,0.73767,0.6107,0.59298,0.65391,1.15706,0.007228,0.007228,0.007228
86,24087.6,0.69663,1.02078,1.1793,0.75358,0.70449,0.73778,0.61114,0.59276,0.65449,1.15654,0.007195,0.007195,0.007195
87,25071,0.69775,1.02196,1.17936,0.76061,0.69889,0.73764,0.61159,0.59255,0.6546,1.15641,0.007162,0.007162,0.007162
88,1010.85,0.69011,1.00252,1.17475,0.76302,0.70306,0.73898,0.61266,0.59231,0.65263,1.1563,0.007129,0.007129,0.007129
89,2029.67,0.69793,1.01904,1.1799,0.76264,0.70154,0.73873,0.61202,0.59183,0.65145,1.15582,0.007096,0.007096,0.007096
90,3066.34,0.69809,1.02087,1.18069,0.76543,0.70128,0.73926,0.61224,0.59243,0.65046,1.15651,0.007063,0.007063,0.007063
91,4103.19,0.69747,1.02175,1.17944,0.76661,0.69721,0.74011,0.61277,0.59232,0.64998,1.15658,0.00703,0.00703,0.00703
92,5140.49,0.69757,1.02461,1.17936,0.77307,0.69398,0.74056,0.61296,0.59231,0.64909,1.15666,0.006997,0.006997,0.006997
93,6146.7,0.69765,1.02461,1.17778,0.77221,0.69423,0.74044,0.61278,0.59212,0.64981,1.15608,0.006964,0.006964,0.006964
94,7179.77,0.69729,1.02115,1.18061,0.76974,0.69436,0.74064,0.61288,0.59174,0.64998,1.15587,0.006931,0.006931,0.006931
95,8189.91,0.69759,1.0174,1.18078,0.76911,0.69351,0.74071,0.613,0.59216,0.64937,1.15633,0.006898,0.006898,0.006898
96,9187.51,0.6964,1.01608,1.17923,0.76462,0.69854,0.73969,0.61229,0.5923,0.64991,1.15623,0.006865,0.006865,0.006865
97,10225.1,0.69746,1.01483,1.17968,0.76803,0.69397,0.74012,0.61252,0.59216,0.6499,1.15618,0.006832,0.006832,0.006832
98,11231.5,0.69526,1.0157,1.17739,0.7731,0.69198,0.74074,0.61285,0.59191,0.64965,1.15602,0.006799,0.006799,0.006799
99,12270.6,0.69335,1.00798,1.17722,0.77505,0.68995,0.74057,0.61297,0.59256,0.6494,1.15641,0.006766,0.006766,0.006766
100,13309.5,0.69419,1.0116,1.17756,0.77152,0.69435,0.74118,0.61379,0.59263,0.64908,1.15642,0.006733,0.006733,0.006733
101,14348.2,0.69559,1.01261,1.17854,0.76643,0.70046,0.74184,0.61446,0.5922,0.64849,1.15587,0.0067,0.0067,0.0067
102,15388.3,0.69457,1.015,1.17901,0.76695,0.70234,0.7421,0.61487,0.59213,0.64811,1.15553,0.006667,0.006667,0.006667
103,16426.3,0.69428,1.0154,1.17707,0.76904,0.70191,0.74146,0.61434,0.59277,0.64816,1.15592,0.006634,0.006634,0.006634
104,17428.1,0.69313,1.01085,1.17704,0.76947,0.70611,0.74199,0.61398,0.59341,0.64704,1.15659,0.006601,0.006601,0.006601
105,18465.1,0.69046,1.01379,1.17572,0.76899,0.70677,0.74273,0.61376,0.59342,0.64709,1.15639,0.006568,0.006568,0.006568
106,19505.1,0.69332,1.00817,1.17701,0.76766,0.70742,0.74245,0.61378,0.5936,0.64586,1.15661,0.006535,0.006535,0.006535
107,20545.2,0.69442,1.01035,1.17639,0.76266,0.70693,0.74272,0.61457,0.59343,0.64546,1.15631,0.006502,0.006502,0.006502
108,21583.3,0.69232,1.0076,1.17652,0.76609,0.70401,0.74383,0.61567,0.59304,0.6447,1.15602,0.006469,0.006469,0.006469
109,22595.2,0.68998,1.00239,1.1747,0.76202,0.70616,0.74295,0.61504,0.59297,0.64455,1.15571,0.006436,0.006436,0.006436
110,23633.2,0.692,1.00274,1.17635,0.75955,0.71039,0.74263,0.61517,0.5926,0.64552,1.15529,0.006403,0.006403,0.006403
111,24676.2,0.69123,1.00777,1.17594,0.75749,0.71091,0.74318,0.61585,0.593,0.64522,1.15551,0.00637,0.00637,0.00637
112,25716.3,0.69278,1.00234,1.17655,0.76081,0.70711,0.74425,0.61688,0.59317,0.64457,1.15539,0.006337,0.006337,0.006337
113,26755.3,0.69228,1.0032,1.17605,0.7659,0.7044,0.74471,0.61691,0.59339,0.64415,1.15527,0.006304,0.006304,0.006304
114,27792.9,0.69085,1.00595,1.17586,0.76988,0.70129,0.74554,0.61752,0.59317,0.64375,1.15485,0.006271,0.006271,0.006271
115,28830.9,0.69344,1.00059,1.17728,0.77239,0.69839,0.74622,0.6183,0.593,0.64327,1.15462,0.006238,0.006238,0.006238
116,29868,0.68971,1.00338,1.17308,0.76953,0.69957,0.74657,0.618,0.59279,0.64263,1.15452,0.006205,0.006205,0.006205
117,1011.33,0.68572,0.98235,1.17225,0.76669,0.70428,0.74703,0.61894,0.59123,0.64147,1.15314,0.006172,0.006172,0.006172
118,2047.14,0.68979,1.00317,1.17549,0.75893,0.71113,0.74762,0.61948,0.59117,0.64117,1.15303,0.006139,0.006139,0.006139
119,3083.43,0.69149,0.99941,1.17669,0.76166,0.71033,0.74769,0.62032,0.59103,0.64092,1.15303,0.006106,0.006106,0.006106
120,4120.7,0.69001,0.99227,1.17477,0.77506,0.70435,0.74909,0.62045,0.59083,0.64042,1.15304,0.006073,0.006073,0.006073
121,5157.19,0.68961,0.99779,1.17541,0.77263,0.70718,0.74844,0.61988,0.59065,0.64035,1.15259,0.00604,0.00604,0.00604
122,6193.97,0.69035,0.99801,1.17549,0.77711,0.70715,0.74841,0.62002,0.59067,0.63997,1.15243,0.006007,0.006007,0.006007
123,7230.18,0.68917,0.99648,1.17542,0.77923,0.70503,0.74863,0.62012,0.59112,0.63886,1.15274,0.005974,0.005974,0.005974
124,8267.05,0.68908,0.9931,1.17488,0.77552,0.70618,0.74843,0.62006,0.59125,0.63918,1.15272,0.005941,0.005941,0.005941
125,9303.57,0.68921,0.99496,1.17517,0.7751,0.70463,0.74899,0.62045,0.59061,0.63872,1.15251,0.005908,0.005908,0.005908
126,10316.9,0.6911,0.99826,1.17615,0.77489,0.70572,0.74963,0.62112,0.5906,0.63816,1.15221,0.005875,0.005875,0.005875
